iter	Passed	Remaining
1230	139537	87168
1231	139661	87061
1232	139755	86936
1233	139845	86808
1234	139935	86680
1235	140024	86552
1236	140122	86429
1237	140257	86329
1238	140402	86235
1239	140504	86115
1240	140616	86001
1241	140706	85874
1242	140806	85752
1243	140899	85626
1244	141005	85509
1245	141145	85412
1246	141237	85286
1247	141339	85166
1248	141443	85047
1249	141548	84929
1250	141665	84817
1251	141757	84691
1252	141860	84573
1253	141966	84455
1254	142068	84335
1255	142177	84219
1256	142297	84110
1257	142413	83998
1258	142494	83866
1259	142604	83751
1260	142747	83656
1261	142882	83555
1262	143020	83457
1263	143144	83350
1264	143274	83246
1265	143398	83139
1266	143524	83033
1267	143688	82949
1268	143814	82843
1269	143899	82714
1270	143988	82586
1271	144123	82485
1272	144218	82362
1273	144308	82235
1274	144400	82109
1275	144511	81995
1276	144627	81883
1277	144739	81770
1278	144847	81653
1279	144948	81533
1280	145040	81408
1281	145138	81286
1282	145229	81161
1283	145339	81045
1284	145429	80919
1285	145528	80798
1286	145623	80675
1287	145716	80551
1288	145805	80425
1289	145893	80298
1290	145983	80171
1291	146079	80049
1292	146167	79923
1293	146256	79796
1294	146356	79676
1295	146481	79569
1296	146596	79458
1297	146704	79342
1298	146790	79214
1299	146882	79090
1300	146982	78970
1301	147087	78853
1302	147196	78738
1303	147300	78620
1304	147386	78493
1305	147505	78383
1306	147596	78258
1307	147682	78131
1308	147768	78004
1309	147861	77881
1310	147950	77755
1311	148036	77628
1312	148139	77511
1313	148231	77387
1314	148339	77271
1315	148429	77147
1316	148526	77026
1317	148633	76910
1318	148734	76791
1319	148871	76691
1320	148990	76581
1321	149096	76465
1322	149185	76340
1323	149283	76220
1324	149382	76100
1325	149480	75980
1326	149574	75858
1327	149665	75734
1328	149760	75612
1329	149895	75511
1330	150016	75402
1331	150112	75281
1332	150198	75155
1333	150289	75031
1334	150384	74910
1335	150482	74790
1336	150597	74679
1337	150700	74561
1338	150819	74452
1339	150945	74346
1340	151086	74247
1341	151194	74132
1342	151322	74027
1343	151451	73922
1344	151602	73828
1345	151714	73715
1346	151831	73605
1347	151967	73503
1348	152057	73380
1349	152145	73255
1350	152252	73140
1351	152345	73017
1352	152435	72893
1353	152540	72777
1354	152637	72657
1355	152742	72541
1356	152823	72414
1357	152949	72307
1358	153035	72182
1359	153121	72056
1360	153228	71941
1361	153331	71825
1362	153435	71708
1363	153571	71606
1364	153686	71494
1365	153784	71375
1366	153918	71273
1367	154049	71169
1368	154166	71058
1369	154283	70948
1370	154417	70845
1371	154526	70730
1372	154641	70619
1373	154739	70499
1374	154834	70379
1375	154974	70278
1376	155089	70167
1377	155220	70063
1378	155326	69947
1379	155437	69834
1380	155526	69710
1381	155612	69586
1382	155734	69478
1383	155842	69363
1384	155929	69239
1385	156033	69123
1386	156127	69002
1387	156216	68879
1388	156331	68767
1389	156444	68655
1390	156554	68541
1391	156648	68421
1392	156771	68313
1393	156906	68210
1394	157051	68112
1395	157188	68010
1396	157318	67905
1397	157461	67805
1398	157571	67691
1399	157673	67574
1400	157810	67472
1401	157983	67385
1402	158149	67295
1403	158269	67185
1404	158357	67062
1405	158460	66945
1406	158553	66824
1407	158643	66702
1408	158740	66583
1409	158841	66465
1410	158963	66356
1411	159057	66236
1412	159194	66133
1413	159306	66020
1414	159412	65905
1415	159497	65781
1416	159602	65665
1417	159715	65553
1418	159831	65442
1419	159924	65321
1420	160023	65203
1421	160133	65089
1422	160264	64984
1423	160358	64864
1424	160452	64744
1425	160549	64625
1426	160650	64507
1427	160746	64388
1428	160839	64268
1429	160936	64149
1430	161028	64028
1431	161124	63909
1432	161225	63792
1433	161342	63681
1434	161443	63565
1435	161547	63448
1436	161635	63326
1437	161740	63211
1438	161842	63094
1439	161950	62980
1440	162042	62860
1441	162147	62745
1442	162245	62626
1443	162347	62510
1444	162437	62389
1445	162532	62270
1446	162621	62148
1447	162713	62028
1448	162807	61909
1449	162892	61786
1450	162986	61667
1451	163088	61551
1452	163186	61433
1453	163302	61322
1454	163400	61204
1455	163492	61085
1456	163604	60972
1457	163708	60857
1458	163821	60745
1459	163934	60633
1460	164028	60514
1461	164130	60398
1462	164235	60283
1463	164343	60169
1464	164441	60051
1465	164539	59934
1466	164625	59812
1467	164713	59691
1468	164799	59570
1469	164912	59458
1470	165003	59338
1471	165118	59227
1472	165234	59116
1473	165321	58995
1474	165409	58874
1475	165510	58758
1476	165611	58642
1477	165706	58524
1478	165796	58404
1479	165881	58282
1480	165974	58163
1481	166069	58045
1482	166162	57927
1483	166268	57813
1484	166353	57691
1485	166449	57573
1486	166547	57457
1487	166658	57344
1488	166759	57229
1489	166861	57113
1490	166955	56995
1491	167073	56885
1492	167209	56781
1493	167318	56668
1494	167404	56547
1495	167493	56428
1496	167599	56314
1497	167708	56201
1498	167828	56091
1499	167929	55976
1500	168057	55869
1501	168163	55755
1502	168264	55640
1503	168374	55527
1504	168489	55416
1505	168597	55303
1506	168716	55193
1507	168832	55083
1508	168936	54968
1509	169053	54858
1510	169166	54746
1511	169266	54630
1512	169362	54513
1513	169460	54397
1514	169549	54278
1515	169661	54166
1516	169781	54057
1517	169888	53943
1518	169998	53830
1519	170102	53716
1520	170195	53598
1521	170285	53479
1522	170389	53365
1523	170501	53253
1524	170604	53139
1525	170716	53027
1526	170838	52918
1527	170950	52806
1528	171058	52693
1529	171175	52583
1530	171297	52474
1531	171425	52367
1532	171553	52260
1533	171678	52152
1534	171803	52044
1535	171927	51936
1536	172060	51830
1537	172182	51721
1538	172310	51614
1539	172420	51502
1540	172533	51390
1541	172627	51273
1542	172727	51157
1543	172825	51041
1544	172931	50928
1545	173036	50813
1546	173191	50714
1547	173303	50602
1548	173412	50490
1549	173555	50387
1550	173682	50279
1551	173797	50168
1552	173899	50053
1553	173994	49936
1554	174091	49820
1555	174201	49707
1556	174305	49593
1557	174412	49480
1558	174525	49368
1559	174615	49250
1560	174732	49139
1561	174836	49025
1562	174929	48908
1563	175030	48793
1564	175134	48679
1565	175234	48564
1566	175323	48446
1567	175417	48329
1568	175545	48221
1569	175657	48109
1570	175778	48000
1571	175891	47888
1572	175996	47775
1573	176091	47658
1574	176186	47542
1575	176277	47424
1576	176376	47309
1577	176479	47195
1578	176577	47079
1579	176685	46966
1580	176782	46851
1581	176874	46734
1582	176965	46617
1583	177067	46502
1584	177167	46387
1585	177261	46271
1586	177376	46160
1587	177486	46048
1588	177586	45933
1589	177684	45818
1590	177776	45701
1591	177884	45588
1592	177998	45477
1593	178100	45363
1594	178200	45248
1595	178296	45132
1596	178393	45017
1597	178501	44904
1598	178593	44788
1599	178695	44673
1600	178788	44557
1601	178907	44447
1602	179052	44344
1603	179156	44230
1604	179263	44117
1605	179365	44003
1606	179468	43889
1607	179565	43774
1608	179686	43665
1609	179848	43565
1610	179976	43457
1611	180094	43347
1612	180213	43237
1613	180325	43126
1614	180449	43017
1615	180574	42908
1616	180671	42793
1617	180774	42679
1618	180878	42566
1619	180987	42453
1620	181080	42337
1621	181175	42222
1622	181279	42108
1623	181387	41996
1624	181514	41888
1625	181651	41782
1626	181781	41674
1627	181896	41563
1628	182002	41450
1629	182133	41343
1630	182270	41237
1631	182398	41128
1632	182506	41016
1633	182612	40903
1634	182717	40790
1635	182817	40675
1636	182917	40561
1637	183014	40446
1638	183148	40339
1639	183246	40224
1640	183353	40111
1641	183462	39999
1642	183566	39886
1643	183685	39776
1644	183810	39667
1645	183978	39567
1646	184104	39458
1647	184225	39349
1648	184344	39238
1649	184467	39129
1650	184578	39017
1651	184753	38918
1652	184909	38816
1653	185046	38709
1654	185190	38604
1655	185328	38498
1656	185457	38389
1657	185609	38286
1658	185753	38180
1659	185880	38071
1660	186004	37962
1661	186139	37855
1662	186285	37749
