feature,mean_abs_shap,mean_shap
lifetimeComp,93.91834230302577,26.496239357823733
dp_ils_employeers_cnt_last_month,90.36998344220105,-14.972162822088155
amount_by_category_90d__summarur_amt__sum__cashflowcategory_name__vydacha_nalichnyh_v_bankomate,89.51328080793134,-15.9110649248252
transaction_category_restaurants_percent_amt_2m,89.09053254743259,4.152698711646873
hdb_bki_total_cnt,88.96269567533383,-10.313532942156195
avg_by_category__amount__sum__cashflowcategory_name__reklama_v_internete,86.0186003806828,19.938375034809305
turn_other_cr_sum_v2,85.52506429933425,5.5860171953593944
avg_3m_no_cat,84.64893885143091,-28.003771316909546
hdb_bki_active_pil_cnt,84.58744107361348,-49.70789203877979
avg_3m_money_transactions,84.4715906253192,-6.907201553130442
profit_income_out_rur_amt_l2m,80.89825004026724,37.43377530624635
dp_ils_max_seniority,80.52704236281387,-12.692980997921367
loanacc_rur_amt_cm_avg_inc_v2,80.0264546029348,20.649538157133257
loanacc_rur_amt_curr_v2,75.07762584101212,-13.121084074674048
label_500k_to_1M_share_r1,74.62960561849225,21.51926261389642
vert_has_app_ru_raiffeisennews,74.46485323106062,9.455125854115016
dp_ils_total_seniority,69.73809081313343,-6.6890347506106025
transaction_category_supermarket_sum_cnt_m2,69.0805304374706,15.320996076049092
dp_payoutincomedata_payout_max_3_month,65.28489058303403,17.319658129946934
days_after_last_request,64.76492329537129,1.8051289504822627
avg_by_category__amount__sum__cashflowcategory_name__puteshestvija,63.03214626821289,3.0564089536698695
profit_income_out_rur_amt_9m,62.986930501065935,2.284645837949779
by_category__amount__sum__eoperation_type_name__perevod_s_karty_na_kartu,58.860892788727945,-10.606299678472578
turn_fdep_db_sum_v2,55.6007902623071,-3.486809430536406
transaction_category_restaurants_sum_amt_m2,54.25467696805282,-16.082757884121776
blacklist_flag,53.804560817223404,-0.6622490665626486
ovrd_sum,53.56875706664743,19.78194963361782
vert_pil_loan_application_success_3m,50.83968030693582,13.241780439576164
period_last_act_ad,49.42903470118568,2.7031894489243036
cntOnnRinCallAvg6m,48.86748761300279,-1.9516606225185893
loan_cur_amt,47.65401358900311,-25.700098633290803
dp_ils_avg_simultanious_jobs_5y,43.67233172203771,-0.44672618879832443
device_iphone_avg,43.44390778279833,2.7077118697144686
label_Above_1M_share_r1,42.32657126049856,-4.538953555672444
hdb_bki_total_active_products,41.08451987759839,8.753424333884645
avg_6m_travel,40.57921495907928,-7.307136652397046
businessTelSubs,39.98263239933672,-7.079170741833656
vert_has_app_ru_cian_main,35.327309933646006,4.382899761209502
vert_pil_fee_discount_change_3m,33.078796380062165,31.77347529220985
loan_cnt,31.785004243122046,3.3574614433644356
hdb_bki_last_product_days,31.62429337090467,-2.674123509691503
avg_by_category__amount__sum__cashflowcategory_name__platezhi_cherez_internet,31.250501589208223,6.966459802455584
transaction_category_supermarket_sum_cnt_d15,30.851933717184426,0.49900488539369714
express_rur_amt_cm_avg,30.70199750529949,6.750465574987246
tz_msk_timedelta,29.254077051290356,5.942114917540923
days_to_last_transaction,28.521689791977487,-4.403453865831607
dp_ewb_dismissal_due_contract_violation_by_lb_cnt,26.55790374214626,-6.460424192312043
hdb_bki_total_micro_cnt,24.733786194082427,4.801604625794721
dp_payoutincomedata_payout_avg_prev_year,23.614847633590678,-0.8083639273524468
total_sum,21.519365033795566,-4.621965422578527
avg_by_category__amount__sum__cashflowcategory_name__zarubezhnye_finansovye_operatsii,21.210416485935152,-5.326920204842817
dp_ils_paymentssum_month_avg,17.465668934794802,15.272325947562386
vert_pil_sms_success_3m,16.54569042261492,6.916260908987179
dp_ils_days_multiple_job_share_2y,14.794952170201125,2.757530756878856
vert_has_app_ru_vtb_invest,14.343721645571092,6.89922000138877
calledCtnOutGroup,13.678264743819788,-0.3795494581480598
hdb_bki_total_pil_last_days,11.454899801153308,1.7205447943828895
hdb_bki_total_pil_max_del90,8.434247558427908,-0.12072049694581766
cred_dda_rur_amt_3m_avg,6.9272764521296315,-4.735853916107434
day_of_week,6.71990561524388,-0.5093402415692277
vert_has_app_ru_tinkoff_investing,4.640592780066729,-0.20189073696996762
hdb_bki_other_active_pil_outstanding,0.0,0.0
hdb_bki_total_max_overdue_sum,0.0,0.0
hdb_bki_total_max_limit,0.0,0.0
dp_ewb_last_employment_position,0.0,0.0
nonresident_flag,0.0,0.0
bki_total_max_limit,0.0,0.0
hdb_bki_active_cc_max_outstand,0.0,0.0
hdb_bki_total_pil_max_overdue,0.0,0.0
client_active_flag,0.0,0.0
vert_ghost_close_dpay3_last_days,0.0,0.0
dp_ils_days_ip_share_5y,0.0,0.0
hdb_bki_total_cc_max_overdue,0.0,0.0
hdb_bki_total_auto_max_limit,0.0,0.0
hdb_bki_total_micro_max_overdue,0.0,0.0
hdb_bki_active_pil_max_limit,0.0,0.0
accountsalary_out_flag,0.0,0.0
hdb_bki_other_active_ip_outstanding,0.0,0.0
hdb_bki_active_cc_max_overdue,0.0,0.0
year,0.0,0.0
