feature,mean_abs_shap,mean_shap
month,0.00889249205766698,0.00885097592332148
turn_cur_db_avg_v2,0.00884426587695954,-0.00045208362670200766
turn_cur_cr_7avg_avg_v2,0.008528132366581955,0.0003929170501953264
dp_ils_avg_salary_2y,0.008374279184999082,0.0033882866465192963
hdb_relend_active_max_psk,0.008071072065922004,0.0011019719836265456
adminarea,0.006652484928185789,7.912435503334681e-05
dda_rur_amt_curr_v2,0.006288986131275859,0.0008977335271971855
transaction_category_supermarket_percent_cnt_2m,0.00627270828942424,-0.00042502096938177463
curr_rur_amt_cm_avg,0.006254644134956807,0.0009241245722425691
turn_cur_db_min_v2,0.006227591079703046,-0.0007135205173013544
bki_total_active_products,0.006138323911512057,0.0011776688278265582
dp_ils_accpayment_avg_6m,0.006095592888193979,0.0002132962225724838
dp_ils_salary_ratio_1y3y,0.006031232400964183,-0.0006375610566390355
dp_ils_accpayment_avg_12m,0.005730367375928284,0.003273796725634965
turn_volatility,0.0056674720110405485,0.00036359796001209934
hdb_other_active_max_psk,0.005557314698838132,0.0011548697140217731
transaction_category_cash_percent_amt_2m,0.005541360261413975,2.748482245648654e-05
avg_by_category__amount__sum__cashflowcategory_name__kafe,0.005458770455998449,-0.0005160857687459547
dp_ils_paymentssum_avg_6m,0.0053392304281952244,0.0013933941879243174
mob_total_sessions,0.0051023174397224515,-0.0006812449062109762
dp_ils_avg_salary_3y,0.005095567762824838,0.001413498025909649
dda_rur_amt_3m_avg,0.005020376538352705,0.00022483134518535872
hdb_bki_other_active_pil_outstanding,0.004956410069447129,-0.0007046452830958979
turn_cur_db_max_v2,0.0049353897995025936,0.0004388083755235676
mob_cnt_days,0.004885868688353597,0.0005947509085495028
avg_by_category__amount__sum__cashflowcategory_name__odezhda,0.004804314587380909,0.00017557055187076027
hdb_bki_total_pil_last_days,0.00468832042754834,-0.0004730932051074968
hdb_relend_outstand_sum,0.004508760586983553,-0.0009013564625599034
bki_total_il_max_limit,0.00448581812830642,-0.0009958758193798765
hdb_bki_total_products,0.004451542277430292,-0.000554495825244179
amount_by_category_90d__summarur_amt__sum__cashflowcategory_name__elektronnye_dengi,0.004438419216902992,0.0001618571481412502
mob_cover_days,0.004429804587033814,-0.0001530707645678714
avg_loan_cnt_with_insurance,0.004282037646154362,0.0008988249073458542
avg_by_category__amount__sum__cashflowcategory_name__elektronnye_dengi,0.004200021835581559,-0.00012010443057076084
dp_ils_accpayment_avg_6m_current,0.004116756595583281,-0.0035256855509384656
avg_by_category__amount__sum__cashflowcategory_name__gipermarkety,0.003943107290509249,5.142841163667291e-05
avg_6m_clothing,0.0039320081729935265,-0.00025588446460881605
pil,0.0038058014423308444,0.0010183967710864037
by_category__amount__sum__eoperation_type_name__perevod_po_nomeru_telefona,0.003749333373834208,0.0008475214268886967
min_balance_rur_amt_6m_af,0.003650427073980148,-1.8309047782044076e-05
avg_by_category__amount__sum__cashflowcategory_name__kosmetika,0.003612066223954826,2.232646402225221e-05
turn_cur_cr_min_v2,0.0035815799314441277,-0.0014091734095192216
by_category__amount__sum__eoperation_type_name__platezh_za_mobilnyj_cherez_ps,0.0035278491647499307,-0.0017544544643118118
turn_save_db_min_v2,0.0034615707127685887,0.00024671938505626325
avg_by_category__amount__sum__cashflowcategory_name__produkty,0.003457065012643278,0.0014103101790999756
avg_by_category__amount__sum__cashflowcategory_name__supermarkety,0.0034304231770830723,0.0002756853427802028
transaction_category_supermarket_inc_cnt_2m,0.0033407779171334036,4.228856253125102e-05
turn_cur_db_7avg_avg_v2,0.003330078382089818,-0.0006196924318550858
dp_ils_total_seniority,0.0032705981085822174,0.001078414731292123
hdb_bki_last_product_days,0.003243688727082639,-0.00037260890735417153
by_category__amount__sum__eoperation_type_name__perevod_mezhdu_svoimi_schetami,0.003039833826071477,-0.0008821227139812272
dayofweek,0.0030311590960009145,0.002949558329726532
hdb_bki_total_ip_max_limit,0.002971659668740382,-0.000197828632450685
salary_median_in_gex_r1,0.002962547906133478,0.000436757928066629
dp_payoutincomedata_payout_sum_3_month,0.002833875749681945,0.001828875524332671
